company,product_name,link_href,product_category,price
hillyard,"Hillyard,  Soil-Stop®, Carpet Soil And Stain Retardant,  1 Gal Bottle",https://www.hillyard.com/hillyardb2b/en/USD/All-Products/Chemicals-%26-Dispensing/Chemicals/Carpet-Cleaners/Hillyard%2C-Soil-Stop%C2%AE%2C-Carpet-Soil-And-Stain-Retardant/p/HIL0092706,"Cleaner, Protectant, Spot remover",19.99
hillyard,"Hillyard,  Glass And Plastic Cleaner,  1 Gal Bottle",https://www.hillyard.com/hillyardb2b/en/USD/All-Products/Chemicals-%26-Dispensing/Chemicals/General-Cleaners/Hillyard%2C-Glass-And-Plastic-Cleaner/p/HIL0012106,"Cleaner, Protectant",12.46
hillyard,"Hillyard, Carpet Booster Carpet Booster Extraction Cleaner,  2 Lb Jar",https://www.hillyard.com/hillyardb2b/en/USD/All-Products/Chemicals-%26-Dispensing/Chemicals/Carpet-Cleaners/Hillyard%2C-Carpet-Booster-Carpet-Booster-Extraction-Cleaner%2C-2-Lb-Jar/p/HIL0091500,"Cleaner, Protectant, Spot remover",19.45
hillyard,"Hillyard,  Carpet Spotter,  1 Gal Bottle",https://www.hillyard.com/hillyardb2b/en/USD/All-Products/Chemicals-%26-Dispensing/Chemicals/Carpet-Cleaners/Hillyard%2C-Carpet-Spotter/p/HIL0091006,Spot remover,20
hillyard,"Hillyard,  Carpet Spotter Gel,  32 Fl Oz Bottle",https://www.hillyard.com/hillyardb2b/en/USD/All-Products/Chemicals-%26-Dispensing/Chemicals/Carpet-Cleaners/Hillyard%2C-Carpet-Spotter-Gel/p/HIL0090904,Spot remover,30.39
hillyard,"Hillyard,  Carpet Debrowner Ii Carpet Spotter,  32 Fl Oz Bottle",https://www.hillyard.com/hillyardb2b/en/USD/All-Products/Chemicals-%26-Dispensing/Chemicals/Carpet-Cleaners/Hillyard%2C-Carpet-Debrowner-Ii-Carpet-Spotter/p/HIL0090704,Spot remover,15.45
hillyard,"Hillyard, Quick And Clean® Lustre-Mist® Furniture Polish,  18 Oz Can",https://www.hillyard.com/hillyardb2b/en/USD/All-Products/Chemicals-%26-Dispensing/Chemicals/Specialty/Hillyard%2C-Quick-And-Clean%C2%AE-Lustre-Mist%C2%AE-Furniture-Polish%2C-18-Oz-Can/p/HIL0103155,"Cleaner, Protectant",11.38
hillyard,"Hillyard, Quick And Clean® Carpet Spotter,  18 Oz Can",https://www.hillyard.com/hillyardb2b/en/USD/All-Products/Chemicals-%26-Dispensing/Chemicals/Carpet-Cleaners/Hillyard%2C-Quick-And-Clean%C2%AE-Carpet-Spotter%2C-18-Oz-Can/p/HIL0102955,"Cleaner, Spot remover",22.45
hillyard,"Hillyard,  Double Down® Carpet Spotter- Starter Pack,  22 Fl Oz Bottle",https://www.hillyard.com/hillyardb2b/en/USD/All-Products/Chemicals-%26-Dispensing/Chemicals/Carpet-Cleaners/Hillyard%2C-Double-Down%C2%AE-Carpet-Spotter--Starter-Pack%2C-22-Fl-Oz-Bottle/p/HIL0104069,Cleaner,16.06
hillyard,"Hillyard,  Clean Release® Carpet Shampoo,  1 Gal Bottle",https://www.hillyard.com/hillyardb2b/en/USD/All-Products/Chemicals-%26-Dispensing/Chemicals/Carpet-Cleaners/Hillyard%2C-Clean-Release%C2%AE-Carpet-Shampoo/p/HIL0090506,Cleaner,25.93
hillyard,"Hillyard, Quick And Clean® Lustre-Mist® Furniture Polish,  32 Fl Oz Bottle",https://www.hillyard.com/hillyardb2b/en/USD/All-Products/Chemicals-%26-Dispensing/Chemicals/Specialty/Hillyard%2C-Quick-And-Clean%C2%AE-Lustre-Mist%C2%AE-Furniture-Polish/p/HIL0100404,"Cleaner, Protectant, Spot remover",9.99
hillyard,"Hillyard,  Double Down® Carpet Spotter - Refills,  22 Fl Oz Bottle",https://www.hillyard.com/hillyardb2b/en/USD/All-Products/Chemicals-%26-Dispensing/Chemicals/Carpet-Cleaners/Hillyard%2C-Double-Down%C2%AE-Carpet-Spotter---Refills%2C-22-Fl-Oz-Bottle/p/HIL0104070,Cleaner,
hillyard,"Karcher,  Vital Oxide Disinfectant,  55 Gal Drum",https://www.hillyard.com/hillyardb2b/en/USD/All-Products/Chemicals-%26-Dispensing/Chemicals/Disinfectants-%26-Sanitizers/Karcher%2C-Vital-Oxide-Disinfectant%2C-55-Gal-Drum/p/WIN86981120,"Protectant, Spot remover",
hillyard,"3M,  C. Diff Solution Tablets - Gallon Size,  100 Tablets/Bottle",https://www.hillyard.com/hillyardb2b/en/USD/All-Products/Chemicals-%26-Dispensing/Chemicals/Disinfectants-%26-Sanitizers/3M%2C-C-Diff-Solution-Tablets---Gallon-Size%2C-100-Tablets-Bottle/p/MIN7100141025,Protectant,
